occupational status,marital status , What is the highest grade or level of schooling you completed? ,6. 你是不是在美國出生？  Were you born in the United States? ,7. 你在哪一年來到美國居住？   In what year did you come to live in the United States? ,8. 你的英文說得多好？  How well do you speak English? ,9. 你來自哪裡？（中國的城市名或Other國家名）  Where are you from? (Chinese city name or other country name)  ,10. 你現在的家庭住址的郵政編碼是多少？    What is the zip code of your current household? ,household_income
Working,Married,Primary School,No,2005,Not Good,taishan,60608,"$20,000 至 $34,999"
Working,Married,Primary School,No,1970,Good,hong Kong,60616,"$10,000 至 $14,999"
Working,Single Never Married,Vocational or technical school after high school,No,2001,Good,sin gapore,60632,"<em>$0 至 $9,999"
Housewife,Married,High School,No,2000,Good,guongzhou,60608,"$20,000 至 $34,999"
Working,Married,Junior High,No,2012,Good,gongdong,60616,"$20,000 至 $34,999"
Unemployed,Divorced,Vocational or technical school after high school,No,2005,Very Bad,tan ka,60616,"<em>$0 至 $9,999"
Working,Married,Junior High,No,2007,Not Good,wohan,60616,"$20,000 至 $34,999"
Working,Married,High School,No,2005,Not Good,Tianjin,60616,"$20,000 至 $34,999"
Retired,Divorced,University Graduate,No,1975,Good,tun sun,60616,"<em>$0 至 $9,999"
Retired,Married,Primary School,No,1985,Very Bad,taishan,60616,"$10,000 至 $14,999"
Working,Married,University Graduate,No,2006,Good,Trisha,60632,"$50,000 至 $74,999"
Working,Married,Vocational or technical school after high school,No,1998,Not Good,gongdong,60616,"$15,000 至 $19,999"
Housewife,Married,Vocational or technical school after high school,No,2003,Not Good,Guangdong,60616,"$10,000 至 $14,999"
Working,Married,Junior High,No,2009,Good,taisha,60632,"$20,000 至 $34,999"
Retired,Married,Junior High,No,1994,Not Good,hu bing,60616,"<em>$0 至 $9,999"
Working,Married,Primary School,<em>Yes（轉至Q10）,,,,60632,"$20,000 至 $34,999"
Housewife,Married,Primary School,No,2003,Not Good,kaiping,60616,"<em>$0 至 $9,999"
Working,Single Never Married,High School,No,2014,Not Good,guangdong,60616,"<em>$0 至 $9,999"
Working,Married,Junior High,No,2010,Very Bad,Guangzhou,60616,"$15,000 至 $19,999"
Working,Divorced,Junior High,No,2001,Good,gongdong,60616,"$15,000 至 $19,999"
Working,Married,Junior High,No,2005,Very Bad,fuzhou,60616,"$15,000 至 $19,999"
Working,Married,High School,No,1993,Good,taishan,60608,"$20,000 至 $34,999"
Student,Married,Attended college but did not graduate,No,2011,Good,gongdong,60608,"$20,000 至 $34,999"
Retired,Married,High School,No,1980,Good,Hong Kong,60632,"$35,000 至 $49,999"
Retired,Married,Vocational or technical school after high school,No,2010,Not Good,Hong Kong ,60660,"$15,000 至 $19,999"
Housewife,Married,Vocational or technical school after high school,No,2011,Very Bad,Shanyang,60605,"<em>$0 至 $9,999"
Working,Married,Primary School,No,2008,Very Bad,Toishan,60616,"$50,000 至 $74,999"
Housewife,Married,Junior High,No,2005,Very Bad,Toishanese ,60616,"<em>$0 至 $9,999"
Retired,Married,Junior High,No,1997,Not Good,Guangdon ,60616,"$10,000 至 $14,999"
